name,team,position,owner,age,careerGames,seasons,adp,ownedPct,projAvg,avgPts,totalPts,L5,L3,L1,games,TOG%,kicks,handballs,marks,hitouts,tackles,freesFor,freesAgainst,goals,behinds
"Bailey Smith",GEE,MID,"Baz’s 8-balls",25,136,8,7.4,99.18,113.9,122.8,1228,121.4,118.3,157,10,83.2,20.6,11.8,4.5,0,5,2.1,0.5,0.5,0.3
"Nick Daicos",COL,MID,"Lachie’s Flesh Clarrynet",23,103,5,2.5,99.18,111.3,122.6,981,115.6,118,95,8,86.6,19.8,15.9,5.1,0,2.5,1.3,0.4,0.8,1.6
"Harry Sheezel",NTH,MID/FWD,GuldenEye,21,76,4,2.5,98.91,111.8,113.8,1024,112.2,106.7,127,9,79.9,16,15.1,6.1,0,4.1,1,1.3,0.6,0.4
"Errol Gulden",SYD,MID,GuldenEye,23,105,6,9.4,98.36,108.8,113.5,227,113.5,113.5,101,2,73.5,13.5,10,4.5,0,9.5,0.5,1,0.5,1
"Archie Roberts",ESS,DEF/MID,"The Forrie Crystals",20,36,3,45.2,98.22,91.6,113.3,1020,131.4,125.3,157,9,82.6,23.1,9.6,7.3,0,1,0.9,0.9,0.1,0
"Luke Jackson",FRE,RUC/FWD,"Lachie’s Flesh Clarrynet",24,128,7,16.5,98.91,95,111.2,1001,125.2,130.7,128,9,79.2,7.8,11.7,2.8,27.2,6.6,1.9,1.7,0.8,1.2
"Max Gawn",MEL,RUC,"Houston we have a problem",34,256,17,30.4,99.04,109.1,110.9,998,100,99.7,106,9,83.4,10.8,10.6,4.1,31.2,2.1,2.9,0.9,0.8,0.6
"Tristan Xerri",NTH,RUC,"Jags to riches",27,82,9,13.5,99.04,107.3,110.5,663,113.4,120,84,6,79.7,8.5,13.7,2.7,21.8,6.8,4.3,2,0.3,0.2
"Lachie Ash",GWS,DEF,"Baz’s 8-balls",24,134,7,23.4,99.18,101.2,108.7,978,103.4,99.3,89,9,80.9,19.3,10,8.6,0,1.6,0.9,0.8,0,0.2
"Jordan Dawson",ADE,MID,"Kids can call you Bont-ju",29,162,11,13.6,99.32,110.2,108,648,110.6,111.3,133,6,82,17.5,7.8,5.5,0,4.5,1.3,1,1.2,0
"Jack Sinclair",STK,DEF,"The Forrie Crystals",31,219,12,34.7,99.04,100,106.8,961,100.2,98,96,9,85.2,20.6,8.9,7,0,1.6,0.4,0.3,0.1,0
